categoria,canal,region,segmento_cliente,compras_previas,meses_cliente,descuento_aplicado,productos_distintos,ticket_promedio_soles
Deportes,Online,Trujillo,Básico,49,73,5.0,1,503.6
Belleza,Tienda física,Trujillo,Gold,28,1,21.0,4,456.22
Electrónica,Online,Arequipa,Silver,25,42,4.4,5,728.05
Electrónica,Online,Piura,Básico,16,19,8.1,5,354.1
Hogar y Deco,Tienda física,Cusco,Silver,2,34,39.9,4,375.95
Hogar y Deco,Tienda física,Trujillo,Básico,18,80,21.7,8,534.59
Ropa y Moda,Online,Trujillo,Básico,17,55,11.4,7,363.87
Belleza,Tienda física,Trujillo,Básico,30,18,39.8,9,321.39
Deportes,Online,Piura,Básico,39,34,38.7,7,370.17
Electrónica,Online,Lima,Platinum,13,45,17.6,10,1659.15
Ropa y Moda,Tienda física,Lima,Silver,32,6,10.4,1,357.6
Ropa y Moda,Tienda física,Arequipa,Silver,29,21,33.5,13,466.68
Electrónica,Online,Lima,Básico,46,70,28.6,14,682.56
Deportes,Online,Trujillo,Básico,30,48,27.5,7,373.6
Ropa y Moda,Online,Trujillo,Silver,18,39,35.7,1,246.89
Ropa y Moda,Online,Trujillo,Platinum,13,31,27.6,7,695.71
Belleza,Tienda física,Arequipa,Gold,43,10,11.4,10,729.52
Deportes,Tienda física,Trujillo,Gold,21,30,27.8,8,663.16
Ropa y Moda,Tienda física,Lima,Silver,30,18,12.2,11,515.99
Deportes,Tienda física,Piura,Básico,21,60,30.4,9,387.5
Electrónica,Tienda física,Piura,Básico,48,73,24.8,12,746.11
Hogar y Deco,Online,Cusco,Platinum,17,15,3.1,3,1233.19
Ropa y Moda,Tienda física,Lima,Gold,40,4,20.5,4,565.94
Belleza,Tienda física,Trujillo,Platinum,19,63,13.7,4,818.56
Electrónica,Tienda física,Piura,Gold,15,40,13.1,12,1178.07
Deportes,Tienda física,Lima,Silver,9,9,24.1,9,375.28
Electrónica,Tienda física,Piura,Gold,10,9,12.9,13,1076.81
Ropa y Moda,Online,Trujillo,Platinum,44,26,31.1,7,887.09
Deportes,Online,Piura,Platinum,31,4,2.8,3,937.16
Hogar y Deco,Online,Cusco,Platinum,23,81,26.4,10,1331.92
Electrónica,Tienda física,Cusco,Silver,30,16,32.4,5,625.88
Ropa y Moda,Online,Piura,Gold,33,15,26.9,7,547.99
Belleza,Online,Lima,Gold,9,52,19.9,8,505.51
Deportes,Tienda física,Lima,Platinum,47,69,38.0,1,1139.03
Electrónica,Tienda física,Lima,Gold,1,5,12.0,12,988.59
Electrónica,Tienda física,Piura,Básico,44,20,0.8,2,547.95
Hogar y Deco,Online,Lima,Básico,35,79,17.3,7,540.76
Hogar y Deco,Online,Trujillo,Básico,11,18,1.3,11,407.82
Belleza,Tienda física,Cusco,Gold,34,2,38.2,13,582.7
Belleza,Tienda física,Trujillo,Silver,16,13,8.4,14,430.03
Ropa y Moda,Online,Lima,Silver,9,4,31.6,13,298.25
Ropa y Moda,Online,Trujillo,Silver,32,42,31.0,2,333.6
Belleza,Tienda física,Lima,Silver,15,74,8.7,7,508.31
Belleza,Tienda física,Piura,Básico,12,61,24.8,9,316.43
Deportes,Online,Trujillo,Básico,33,8,1.9,11,496.93
Hogar y Deco,Tienda física,Piura,Platinum,45,67,19.3,2,1478.82
Ropa y Moda,Online,Piura,Gold,14,63,0.6,7,575.5
Hogar y Deco,Online,Arequipa,Gold,8,9,36.8,4,536.67
Hogar y Deco,Online,Lima,Silver,8,11,39.0,11,419.4
Belleza,Online,Cusco,Básico,27,42,8.9,13,477.32
Deportes,Tienda física,Lima,Silver,12,13,8.3,2,314.97
Electrónica,Tienda física,Cusco,Platinum,1,36,30.1,13,1771.55
Deportes,Online,Lima,Gold,43,13,10.1,7,740.57
Deportes,Online,Piura,Gold,40,12,35.8,13,696.39
Hogar y Deco,Online,Trujillo,Silver,42,37,23.0,5,656.96
Deportes,Online,Trujillo,Platinum,11,74,14.0,1,911.79
Ropa y Moda,Online,Arequipa,Gold,39,73,33.3,5,606.85
Hogar y Deco,Tienda física,Cusco,Platinum,43,52,19.7,12,1547.39
Ropa y Moda,Tienda física,Cusco,Platinum,31,71,36.5,12,1037.77
Electrónica,Tienda física,Cusco,Silver,17,2,37.1,3,495.6
Hogar y Deco,Tienda física,Piura,Básico,33,56,6.6,7,512.91
Electrónica,Online,Cusco,Silver,32,60,0.1,6,772.76
Hogar y Deco,Online,Trujillo,Básico,29,23,39.4,8,324.16
Belleza,Online,Piura,Platinum,21,40,36.2,13,848.38
Deportes,Online,Lima,Básico,21,64,2.2,5,356.91
Belleza,Online,Cusco,Platinum,40,23,33.3,2,680.21
Electrónica,Tienda física,Cusco,Gold,23,29,18.3,9,1143.55
Deportes,Online,Lima,Gold,6,78,10.4,14,799.31
Hogar y Deco,Tienda física,Cusco,Gold,22,51,35.1,11,868.07
Deportes,Tienda física,Lima,Silver,38,69,7.9,8,688.9
Ropa y Moda,Tienda física,Piura,Silver,37,31,37.9,6,430.61
Deportes,Tienda física,Trujillo,Platinum,45,50,8.2,13,1330.85
Ropa y Moda,Online,Lima,Gold,8,20,24.5,10,506.11
Deportes,Tienda física,Arequipa,Silver,41,55,8.9,7,660.23
Ropa y Moda,Tienda física,Lima,Gold,49,81,21.8,9,856.62
Electrónica,Tienda física,Cusco,Silver,35,2,27.4,7,683.43
Belleza,Online,Piura,Básico,11,25,7.6,3,148.7
Hogar y Deco,Online,Piura,Básico,24,13,20.8,6,284.5
Deportes,Online,Lima,Gold,49,70,18.8,11,879.21
Belleza,Tienda física,Trujillo,Platinum,21,67,2.8,13,996.86
Hogar y Deco,Tienda física,Arequipa,Silver,2,58,32.7,11,587.89
Hogar y Deco,Online,Piura,Silver,40,82,13.4,7,760.44
Ropa y Moda,Tienda física,Cusco,Básico,19,75,23.0,2,296.41
Electrónica,Online,Cusco,Básico,39,64,20.6,3,539.33
Electrónica,Online,Trujillo,Platinum,28,69,20.5,4,1675.56
Belleza,Tienda física,Piura,Platinum,17,83,4.3,10,954.16
Electrónica,Tienda física,Lima,Platinum,6,59,16.9,6,1751.66
Deportes,Tienda física,Cusco,Gold,19,60,18.1,1,630.46
Electrónica,Tienda física,Trujillo,Básico,38,83,29.3,9,648.32
Belleza,Online,Piura,Gold,28,62,33.6,5,532.02
Electrónica,Online,Piura,Básico,2,16,21.8,13,373.61
Deportes,Online,Piura,Básico,38,68,3.5,12,599.41
Ropa y Moda,Online,Piura,Silver,37,15,9.5,14,583.55
Belleza,Online,Piura,Básico,4,55,6.6,7,268.25
Ropa y Moda,Tienda física,Cusco,Básico,22,35,5.0,9,408.3
Ropa y Moda,Online,Trujillo,Gold,26,55,14.6,9,631.81
Ropa y Moda,Online,Piura,Básico,49,14,9.2,1,318.72
Hogar y Deco,Online,Arequipa,Gold,43,49,8.7,1,862.58
Hogar y Deco,Tienda física,Arequipa,Platinum,36,83,2.2,3,1485.89
Ropa y Moda,Tienda física,Trujillo,Básico,13,7,0.7,6,290.97
Belleza,Tienda física,Lima,Básico,32,30,4.1,2,342.18
Deportes,Tienda física,Lima,Gold,17,83,6.9,10,836.57
Deportes,Online,Lima,Platinum,41,49,17.2,12,1143.07
Electrónica,Online,Arequipa,Silver,36,16,20.4,11,732.49
Belleza,Tienda física,Lima,Platinum,46,51,5.6,1,911.88
Hogar y Deco,Tienda física,Cusco,Gold,19,72,17.0,1,810.55
Ropa y Moda,Online,Piura,Platinum,35,82,13.7,13,1034.61
Electrónica,Online,Arequipa,Gold,46,80,7.3,5,1186.54
Deportes,Tienda física,Trujillo,Gold,40,83,0.3,4,871.17
Hogar y Deco,Tienda física,Trujillo,Silver,28,42,18.7,1,499.01
Hogar y Deco,Tienda física,Piura,Básico,1,17,27.4,4,201.36
Ropa y Moda,Tienda física,Arequipa,Gold,42,63,9.1,3,716.01
Deportes,Online,Lima,Gold,18,45,5.3,2,576.87
Belleza,Online,Lima,Silver,48,77,35.5,9,619.44
Hogar y Deco,Online,Cusco,Gold,40,7,11.0,14,969.99
Ropa y Moda,Tienda física,Cusco,Básico,33,27,8.9,11,456.8
Belleza,Tienda física,Lima,Silver,12,10,34.3,1,161.23
Deportes,Online,Trujillo,Básico,8,34,32.7,7,208.02
Hogar y Deco,Online,Trujillo,Básico,24,36,17.9,14,478.11
Belleza,Online,Cusco,Silver,16,25,19.6,13,390.51
Belleza,Online,Piura,Gold,4,6,8.7,4,378.21
Belleza,Tienda física,Lima,Básico,38,24,3.1,5,375.88
Hogar y Deco,Online,Cusco,Básico,44,18,22.9,10,483.0
Hogar y Deco,Online,Cusco,Básico,27,6,3.9,5,329.85
Electrónica,Online,Lima,Básico,9,29,18.0,1,250.5
Deportes,Online,Lima,Silver,47,25,37.6,6,563.85
Ropa y Moda,Online,Trujillo,Silver,16,55,38.1,13,428.4
Belleza,Online,Piura,Platinum,12,81,9.6,9,887.04
Electrónica,Online,Piura,Platinum,31,46,25.0,2,1634.71
Ropa y Moda,Tienda física,Lima,Básico,24,24,19.0,7,322.41
Electrónica,Tienda física,Arequipa,Gold,14,75,35.0,6,1082.83
Hogar y Deco,Tienda física,Cusco,Básico,45,26,10.9,5,487.95
Belleza,Tienda física,Cusco,Gold,25,28,0.1,4,541.95
Ropa y Moda,Online,Lima,Básico,34,3,6.5,4,294.29
Ropa y Moda,Tienda física,Arequipa,Platinum,3,75,14.0,6,845.95
Ropa y Moda,Tienda física,Trujillo,Platinum,24,38,12.6,4,902.06
Ropa y Moda,Online,Lima,Gold,42,61,31.7,5,590.27
Ropa y Moda,Online,Lima,Básico,9,78,27.2,13,352.94
Electrónica,Tienda física,Cusco,Gold,26,51,12.0,6,1092.55
Belleza,Tienda física,Lima,Platinum,20,48,18.3,5,767.69
Hogar y Deco,Online,Lima,Básico,40,21,3.8,7,499.55
Hogar y Deco,Tienda física,Lima,Básico,10,54,35.9,9,359.27
Hogar y Deco,Online,Cusco,Gold,19,56,37.4,10,782.42
Hogar y Deco,Online,Trujillo,Silver,3,59,39.2,7,430.09
Electrónica,Online,Trujillo,Gold,24,72,34.7,7,1005.39
Deportes,Online,Lima,Platinum,5,51,7.0,4,886.94
Belleza,Tienda física,Cusco,Platinum,3,20,1.8,1,648.37
Ropa y Moda,Online,Trujillo,Platinum,27,59,23.2,14,998.62
Deportes,Online,Trujillo,Platinum,16,71,36.5,8,968.22
Hogar y Deco,Tienda física,Trujillo,Platinum,49,9,7.1,4,1486.58
Deportes,Online,Cusco,Silver,15,1,0.3,1,340.67
Belleza,Tienda física,Cusco,Básico,35,29,32.2,5,333.41
Ropa y Moda,Tienda física,Lima,Gold,12,63,3.1,14,723.65
Ropa y Moda,Tienda física,Piura,Gold,41,72,16.5,14,897.12
Belleza,Online,Trujillo,Platinum,44,56,27.2,8,949.71
Belleza,Tienda física,Piura,Gold,26,68,9.5,4,600.72
Hogar y Deco,Tienda física,Cusco,Platinum,47,35,3.4,13,1632.63
Ropa y Moda,Online,Cusco,Silver,34,3,30.8,12,414.92
Deportes,Tienda física,Cusco,Silver,23,7,25.2,8,393.25
Electrónica,Tienda física,Piura,Básico,31,27,39.5,8,397.01
Electrónica,Tienda física,Cusco,Silver,20,1,13.8,3,560.62
Belleza,Tienda física,Lima,Silver,12,80,2.5,9,534.71
Hogar y Deco,Tienda física,Cusco,Básico,23,71,29.4,3,354.61
Electrónica,Online,Arequipa,Gold,4,44,20.9,1,829.61
Ropa y Moda,Tienda física,Piura,Platinum,23,41,8.5,2,845.88
Belleza,Tienda física,Arequipa,Platinum,48,75,31.3,6,955.41
Deportes,Online,Cusco,Gold,48,42,8.2,12,886.17
Belleza,Online,Lima,Básico,1,33,10.4,10,247.38
Deportes,Online,Trujillo,Gold,25,50,3.7,2,640.96
Belleza,Tienda física,Cusco,Silver,2,63,16.0,6,333.05
Belleza,Online,Lima,Básico,30,37,16.8,14,462.26
Belleza,Tienda física,Piura,Básico,3,59,20.6,1,151.28
Deportes,Tienda física,Arequipa,Básico,21,81,28.4,11,436.44
Deportes,Online,Arequipa,Platinum,25,48,36.2,13,1069.28
Belleza,Online,Arequipa,Gold,20,5,5.5,1,401.7
Electrónica,Tienda física,Piura,Básico,49,48,2.2,5,661.65
Hogar y Deco,Online,Lima,Básico,22,3,0.7,10,379.59
Hogar y Deco,Tienda física,Piura,Básico,21,47,5.7,13,524.27
Hogar y Deco,Online,Arequipa,Gold,33,62,26.3,11,938.18
Deportes,Online,Cusco,Platinum,38,14,29.1,9,1000.24
Deportes,Online,Trujillo,Silver,15,63,31.5,14,559.35
Electrónica,Tienda física,Piura,Platinum,46,61,9.7,8,2044.53
Hogar y Deco,Online,Piura,Básico,15,31,12.2,3,298.95
Hogar y Deco,Tienda física,Lima,Platinum,46,17,19.3,3,1430.48
Belleza,Tienda física,Lima,Platinum,25,24,2.5,1,770.67
Deportes,Tienda física,Piura,Silver,21,23,24.4,14,541.27
Hogar y Deco,Tienda física,Arequipa,Gold,24,82,39.3,3,819.98
Electrónica,Online,Trujillo,Gold,5,50,14.4,14,1053.16
Electrónica,Tienda física,Lima,Platinum,6,78,30.1,12,1830.04
Hogar y Deco,Tienda física,Arequipa,Platinum,49,79,20.0,12,1628.55
Deportes,Online,Cusco,Gold,43,79,5.1,12,960.45
Electrónica,Tienda física,Lima,Gold,48,70,23.3,13,1389.99
Belleza,Online,Arequipa,Silver,44,27,12.0,11,558.96
Electrónica,Tienda física,Arequipa,Básico,47,15,1.4,1,536.31
Ropa y Moda,Online,Trujillo,Platinum,23,50,25.4,8,831.46
Ropa y Moda,Tienda física,Trujillo,Gold,4,36,34.4,1,292.05
Deportes,Online,Cusco,Platinum,27,8,13.8,5,953.4
Hogar y Deco,Tienda física,Arequipa,Platinum,18,79,15.6,9,1468.12
Deportes,Tienda física,Arequipa,Gold,21,3,35.6,7,572.03
Deportes,Online,Trujillo,Silver,28,62,32.5,4,425.27
Deportes,Online,Lima,Platinum,35,47,28.6,11,1108.35
Deportes,Online,Lima,Silver,22,77,10.0,9,582.54
Belleza,Online,Piura,Gold,40,61,36.4,9,636.87
Belleza,Tienda física,Trujillo,Básico,23,32,6.2,2,292.42
Electrónica,Tienda física,Piura,Básico,3,13,25.1,10,338.54
Ropa y Moda,Online,Trujillo,Platinum,40,1,1.2,10,928.26
Deportes,Tienda física,Cusco,Gold,10,34,25.7,11,610.92
Electrónica,Online,Arequipa,Silver,25,62,11.1,12,851.59
Ropa y Moda,Online,Cusco,Platinum,49,79,18.0,6,1050.73
Hogar y Deco,Tienda física,Trujillo,Gold,8,78,13.8,4,801.31
Belleza,Tienda física,Arequipa,Gold,11,82,6.9,8,607.98
Ropa y Moda,Tienda física,Lima,Silver,5,71,24.9,12,493.81
Hogar y Deco,Tienda física,Lima,Platinum,45,31,35.3,11,1483.52
Ropa y Moda,Tienda física,Piura,Gold,37,64,38.4,7,627.12
Belleza,Tienda física,Trujillo,Gold,45,25,7.7,7,676.86
Belleza,Tienda física,Trujillo,Gold,38,38,28.7,11,639.88
Electrónica,Online,Lima,Silver,29,14,26.6,10,679.35
Deportes,Online,Cusco,Platinum,5,8,13.7,9,865.89
Ropa y Moda,Online,Arequipa,Platinum,9,54,0.8,13,914.64
Ropa y Moda,Online,Cusco,Platinum,48,2,27.6,5,841.03
Hogar y Deco,Online,Cusco,Platinum,2,81,37.8,6,1117.55
Belleza,Tienda física,Lima,Básico,1,78,25.3,1,195.09
Ropa y Moda,Online,Lima,Básico,40,56,17.4,6,461.26
Belleza,Online,Lima,Platinum,30,61,21.0,2,746.43
Ropa y Moda,Online,Piura,Silver,11,22,8.0,6,363.09
Electrónica,Online,Cusco,Básico,28,35,30.0,9,427.06
Deportes,Online,Trujillo,Gold,44,16,29.9,8,668.54
Ropa y Moda,Online,Arequipa,Básico,12,50,5.8,9,340.98
Belleza,Online,Piura,Gold,39,43,35.1,13,676.61
Electrónica,Tienda física,Trujillo,Platinum,26,17,10.8,10,1818.9
Ropa y Moda,Tienda física,Cusco,Básico,13,80,39.3,8,358.8
Hogar y Deco,Online,Lima,Silver,8,58,15.3,3,461.1
Deportes,Tienda física,Cusco,Básico,28,2,7.1,8,372.32
Ropa y Moda,Tienda física,Arequipa,Básico,30,4,14.1,6,308.0
Electrónica,Tienda física,Piura,Básico,9,39,17.6,13,482.9
Hogar y Deco,Tienda física,Piura,Platinum,39,6,2.8,6,1415.79
Electrónica,Online,Arequipa,Silver,31,81,23.1,6,808.16
Electrónica,Tienda física,Trujillo,Básico,21,69,23.9,3,422.12
Hogar y Deco,Tienda física,Trujillo,Silver,47,69,29.6,10,769.59
Electrónica,Tienda física,Piura,Platinum,34,20,1.2,1,1827.13
Hogar y Deco,Online,Piura,Gold,31,64,21.6,12,959.33
Ropa y Moda,Online,Lima,Básico,25,16,2.1,14,476.99
Hogar y Deco,Online,Trujillo,Silver,12,51,28.0,4,448.79
Hogar y Deco,Online,Arequipa,Silver,1,37,2.2,10,517.52
Deportes,Online,Trujillo,Platinum,22,73,36.5,12,1082.51
Hogar y Deco,Online,Lima,Básico,40,69,28.1,6,481.45
Hogar y Deco,Online,Piura,Gold,37,42,20.3,11,914.34
Ropa y Moda,Tienda física,Piura,Silver,47,57,17.7,12,699.15
Deportes,Tienda física,Lima,Básico,1,66,5.2,10,432.59
Belleza,Tienda física,Arequipa,Gold,1,9,11.6,2,314.25
Ropa y Moda,Online,Piura,Silver,42,64,34.8,7,496.68
Ropa y Moda,Online,Cusco,Silver,42,22,36.2,7,424.61
Belleza,Online,Piura,Gold,21,34,0.0,11,631.98
Hogar y Deco,Online,Cusco,Gold,15,55,23.8,4,733.46
Electrónica,Online,Lima,Platinum,17,29,28.8,4,1574.96
Deportes,Tienda física,Lima,Básico,22,38,24.7,1,258.3
Electrónica,Tienda física,Piura,Básico,38,18,3.3,13,602.69
Belleza,Online,Trujillo,Platinum,35,71,8.7,2,834.77
Ropa y Moda,Online,Cusco,Silver,45,65,10.0,9,610.94
Ropa y Moda,Online,Arequipa,Gold,16,1,33.3,10,464.78
Deportes,Online,Piura,Gold,8,4,18.5,8,457.97
Ropa y Moda,Tienda física,Arequipa,Gold,47,4,19.5,8,616.35
Ropa y Moda,Online,Piura,Silver,17,82,37.4,9,437.88
Deportes,Online,Trujillo,Gold,17,27,25.5,7,580.4
Deportes,Online,Trujillo,Gold,26,43,35.9,13,691.22
Belleza,Online,Trujillo,Platinum,13,59,18.3,9,773.76
Ropa y Moda,Tienda física,Trujillo,Silver,17,32,6.0,10,467.43
Ropa y Moda,Online,Lima,Básico,38,33,37.2,12,411.91
Belleza,Online,Lima,Platinum,17,28,18.3,2,602.81
Hogar y Deco,Tienda física,Cusco,Platinum,48,55,7.3,6,1542.9
Hogar y Deco,Tienda física,Arequipa,Básico,14,60,12.1,3,399.53
Hogar y Deco,Tienda física,Piura,Platinum,45,70,2.0,11,1683.76
Belleza,Online,Piura,Silver,6,62,18.7,6,366.25
Ropa y Moda,Online,Lima,Gold,35,80,34.1,3,594.66
Belleza,Tienda física,Piura,Silver,46,34,37.3,8,481.43
Belleza,Tienda física,Lima,Básico,14,56,37.3,11,326.79
Hogar y Deco,Tienda física,Cusco,Básico,47,13,5.0,13,620.56
Electrónica,Tienda física,Arequipa,Platinum,8,56,15.3,4,1767.98
Ropa y Moda,Tienda física,Cusco,Silver,15,18,1.1,12,478.14
Hogar y Deco,Tienda física,Trujillo,Silver,27,54,34.2,10,661.84
Electrónica,Online,Trujillo,Básico,13,77,14.4,6,403.16
Electrónica,Online,Trujillo,Silver,49,43,25.2,9,851.65
Deportes,Online,Cusco,Básico,31,39,28.6,2,272.58
Ropa y Moda,Tienda física,Piura,Silver,35,61,17.2,2,489.63
Electrónica,Tienda física,Arequipa,Silver,6,42,12.3,7,642.67
Hogar y Deco,Tienda física,Trujillo,Silver,5,81,38.5,2,413.82
Deportes,Tienda física,Trujillo,Básico,22,79,38.6,2,308.4
Ropa y Moda,Tienda física,Trujillo,Platinum,49,18,11.6,4,909.17
Belleza,Tienda física,Arequipa,Silver,23,23,19.2,9,403.53
Hogar y Deco,Online,Trujillo,Básico,25,54,38.9,8,359.26
Electrónica,Online,Arequipa,Básico,34,30,0.2,2,454.82
Electrónica,Tienda física,Trujillo,Silver,26,58,16.5,8,818.26
Hogar y Deco,Online,Cusco,Silver,47,68,4.0,4,730.3
Electrónica,Tienda física,Cusco,Platinum,5,67,20.4,2,1716.43
Deportes,Online,Arequipa,Básico,26,71,1.0,11,563.52
Ropa y Moda,Tienda física,Cusco,Básico,20,18,16.3,10,310.16
Deportes,Tienda física,Arequipa,Gold,6,7,8.8,7,545.51
Electrónica,Online,Cusco,Básico,6,40,21.3,6,363.3
Belleza,Online,Cusco,Platinum,18,70,39.8,14,838.11
Ropa y Moda,Tienda física,Arequipa,Gold,4,65,32.0,10,556.76
Ropa y Moda,Tienda física,Piura,Gold,17,68,33.8,5,549.88
Hogar y Deco,Online,Cusco,Gold,14,49,25.4,11,779.18
Hogar y Deco,Online,Trujillo,Silver,14,52,1.7,1,480.62
Belleza,Tienda física,Piura,Silver,13,29,8.3,2,312.34
Ropa y Moda,Online,Arequipa,Básico,7,21,37.0,8,110.11
Belleza,Tienda física,Piura,Gold,44,78,14.6,1,659.32
Hogar y Deco,Tienda física,Lima,Platinum,15,9,4.1,3,1241.42
Hogar y Deco,Tienda física,Lima,Silver,19,47,28.1,2,508.36
Ropa y Moda,Tienda física,Cusco,Platinum,43,76,12.0,5,1059.72
Deportes,Online,Cusco,Platinum,47,42,10.8,4,1130.04
Electrónica,Online,Trujillo,Silver,44,51,39.9,13,833.67
Hogar y Deco,Online,Piura,Silver,35,56,34.3,7,603.14
Hogar y Deco,Online,Lima,Silver,17,51,16.3,5,520.09
Deportes,Online,Cusco,Silver,35,70,39.2,8,537.17
Deportes,Online,Piura,Gold,19,20,26.0,4,582.5
Belleza,Online,Cusco,Gold,20,27,29.7,12,542.47
Belleza,Tienda física,Cusco,Gold,36,38,1.3,6,628.84
Electrónica,Online,Lima,Gold,35,72,4.9,4,1204.1
Electrónica,Online,Lima,Básico,32,65,25.3,2,434.27
Ropa y Moda,Tienda física,Cusco,Gold,48,54,36.0,1,610.55
Belleza,Online,Arequipa,Silver,44,24,24.9,14,589.25
Hogar y Deco,Online,Cusco,Platinum,40,47,5.4,14,1487.63
Belleza,Tienda física,Cusco,Gold,24,71,4.6,1,556.26
Hogar y Deco,Online,Trujillo,Básico,17,83,33.8,8,456.03
Deportes,Online,Trujillo,Silver,7,63,5.6,14,578.11
Belleza,Online,Trujillo,Platinum,43,57,20.8,4,876.76
Deportes,Tienda física,Arequipa,Platinum,1,55,1.5,5,998.76
Electrónica,Online,Arequipa,Gold,35,60,3.2,11,1220.62
Electrónica,Online,Cusco,Platinum,32,62,26.9,8,1802.86
Ropa y Moda,Tienda física,Trujillo,Gold,36,30,27.6,12,691.68
Belleza,Online,Arequipa,Gold,13,22,13.7,7,441.44
Deportes,Tienda física,Lima,Silver,6,75,8.6,13,585.58
Hogar y Deco,Tienda física,Cusco,Silver,14,29,32.5,8,478.2
Electrónica,Online,Piura,Básico,37,41,8.7,13,667.62
Electrónica,Tienda física,Cusco,Silver,48,42,21.7,8,882.23
Hogar y Deco,Tienda física,Piura,Silver,15,65,38.7,6,495.93
Deportes,Online,Trujillo,Gold,47,31,5.9,10,838.55
Deportes,Tienda física,Piura,Silver,4,30,37.6,2,241.16
Belleza,Tienda física,Trujillo,Gold,40,18,7.3,6,623.42
Belleza,Online,Lima,Gold,16,17,22.7,14,517.05
Ropa y Moda,Online,Piura,Silver,28,38,15.1,1,392.1
Electrónica,Online,Cusco,Básico,16,14,38.6,1,197.92
Belleza,Tienda física,Trujillo,Básico,4,79,10.9,11,402.72
Deportes,Online,Cusco,Platinum,45,56,16.0,3,1068.43
Hogar y Deco,Tienda física,Arequipa,Platinum,26,22,39.3,3,1220.17
Deportes,Tienda física,Trujillo,Silver,28,67,21.5,11,696.92
Electrónica,Tienda física,Piura,Básico,32,56,20.1,13,671.68
Deportes,Tienda física,Trujillo,Gold,45,19,10.3,5,751.99
Ropa y Moda,Tienda física,Cusco,Platinum,2,57,28.1,1,726.46
Electrónica,Tienda física,Lima,Gold,31,44,0.6,10,1272.14
Hogar y Deco,Tienda física,Trujillo,Platinum,3,35,2.0,6,1291.33
Ropa y Moda,Online,Piura,Silver,8,1,24.0,7,227.26
Electrónica,Online,Arequipa,Básico,24,52,13.7,10,548.35
Hogar y Deco,Tienda física,Lima,Platinum,15,70,38.1,12,1427.29
Ropa y Moda,Tienda física,Arequipa,Básico,43,37,36.1,13,458.25
Ropa y Moda,Online,Trujillo,Gold,31,65,28.5,11,696.23
Electrónica,Tienda física,Cusco,Silver,9,51,32.7,3,533.89
Belleza,Online,Cusco,Básico,39,1,26.7,4,253.43
Ropa y Moda,Online,Piura,Silver,45,21,5.0,10,552.55
Ropa y Moda,Online,Cusco,Básico,2,53,30.6,11,237.62
Hogar y Deco,Tienda física,Lima,Gold,8,16,8.4,10,786.27
Deportes,Tienda física,Cusco,Gold,7,61,12.9,14,780.28
Electrónica,Online,Piura,Silver,44,54,32.8,12,831.23
Electrónica,Online,Trujillo,Gold,39,40,21.5,10,1099.82
Belleza,Online,Trujillo,Platinum,42,26,34.4,14,901.3
Belleza,Online,Cusco,Básico,16,80,8.5,10,480.5
Electrónica,Online,Arequipa,Gold,35,65,24.3,10,1169.11
Belleza,Tienda física,Trujillo,Platinum,30,74,3.4,3,958.05
Hogar y Deco,Online,Cusco,Silver,10,64,25.7,1,464.69
Electrónica,Tienda física,Piura,Platinum,38,43,30.5,8,1876.16
Belleza,Online,Cusco,Silver,18,17,23.4,13,421.47
Electrónica,Tienda física,Trujillo,Silver,5,59,10.6,10,737.1
Deportes,Tienda física,Piura,Básico,29,23,1.3,10,480.97
Ropa y Moda,Tienda física,Cusco,Básico,39,7,4.8,2,314.39
Electrónica,Tienda física,Lima,Platinum,34,44,24.9,1,1762.32
Ropa y Moda,Tienda física,Piura,Básico,43,53,37.4,14,547.37
Belleza,Tienda física,Lima,Básico,45,71,8.3,8,561.03
Ropa y Moda,Online,Arequipa,Básico,23,79,29.4,7,358.77
Electrónica,Tienda física,Piura,Platinum,5,34,34.7,7,1657.49
Deportes,Online,Lima,Gold,30,46,20.8,4,626.46
Belleza,Tienda física,Trujillo,Básico,6,68,26.8,11,306.57
Electrónica,Tienda física,Trujillo,Básico,46,78,32.6,9,635.0
Belleza,Online,Arequipa,Platinum,44,78,10.4,6,972.6
Hogar y Deco,Tienda física,Piura,Gold,4,16,11.9,2,653.99
Ropa y Moda,Online,Piura,Básico,29,71,0.0,14,574.87
Hogar y Deco,Online,Piura,Silver,23,19,38.5,1,400.26
Electrónica,Online,Arequipa,Platinum,6,2,36.7,1,1311.36
Deportes,Online,Piura,Básico,32,10,30.6,9,334.05
Belleza,Tienda física,Trujillo,Básico,42,50,3.2,4,445.63
Ropa y Moda,Tienda física,Lima,Silver,18,81,17.9,5,447.96
Belleza,Online,Trujillo,Silver,15,12,4.1,3,298.58
Electrónica,Tienda física,Trujillo,Platinum,40,70,0.6,4,1982.53
Belleza,Tienda física,Lima,Platinum,32,22,24.6,12,914.37
Ropa y Moda,Online,Trujillo,Silver,9,32,38.4,8,307.56
Electrónica,Tienda física,Arequipa,Platinum,37,1,36.1,13,1900.2
Belleza,Online,Lima,Silver,10,54,27.9,4,280.82
Deportes,Online,Trujillo,Básico,20,58,3.9,9,482.53
Electrónica,Tienda física,Cusco,Silver,6,70,11.0,9,722.56
